TradeDate;Contractdate;PriceCode;SettlementPrice;HighPrice;LowPrice;Volume;OpenInterest
22/10/2014;01/12/2017;1;79;79;79;2272;0
22/10/2014;01/01/2018;1;79;0;0;0;0
22/10/2014;01/02/2018;1;79;0;0;0;0
22/10/2014;01/03/2018;1;79;0;0;0;0
22/10/2014;01/04/2018;1;79;0;0;0;0
22/10/2014;01/05/2018;1;79;0;0;0;0
22/10/2014;01/06/2018;1;79;0;0;0;0
22/10/2014;01/07/2018;1;79;0;0;0;0
22/10/2014;01/08/2018;1;79;0;0;0;0
22/10/2014;01/09/2018;1;79;0;0;0;0
22/10/2014;01/10/2018;1;79;0;0;0;0
22/10/2014;01/11/2018;1;79;0;0;0;0
22/10/2014;01/12/2018;1;79;80;79;258;0
22/10/2014;01/01/2019;1;79;0;0;0;0
22/10/2014;01/02/2019;1;79;0;0;0;0
22/10/2014;01/03/2019;1;79;0;0;0;0
22/10/2014;01/04/2019;1;79;0;0;0;0
22/10/2014;01/05/2019;1;79;0;0;0;0
22/10/2014;01/06/2019;1;79;0;0;0;0
22/10/2014;01/07/2019;1;79;0;0;0;0
22/10/2014;01/08/2019;1;79;0;0;0;0
22/10/2014;01/09/2019;1;79;0;0;0;0
22/10/2014;01/10/2019;1;79;0;0;0;0
22/10/2014;01/11/2019;1;79;0;0;0;0
22/10/2014;01/12/2019;1;79;80;79;79;0
22/10/2014;01/06/2020;1;79;0;0;0;0
22/10/2014;01/12/2020;1;79;79;79;2;0
22/10/2014;01/06/2021;1;79;0;0;0;0
22/10/2014;01/12/2021;1;80;0;0;0;0
22/10/2014;01/06/2022;1;80;0;0;0;0
22/10/2014;01/12/2022;1;80;0;0;0;0
22/10/2014;01/11/2014;3;2;2;2;36868;0
22/10/2014;01/12/2014;3;2;2;2;80884;0
22/10/2014;01/01/2015;3;2;2;2;32580;0
22/10/2014;01/02/2015;3;2;2;2;17747;0
22/10/2014;01/03/2015;3;2;2;2;10683;0
22/10/2014;01/04/2015;3;2;2;2;5723;0
22/10/2014;01/05/2015;3;2;2;2;3024;0
22/10/2014;01/06/2015;3;2;2;2;7503;0
22/10/2014;01/07/2015;3;2;2;2;1179;0
22/10/2014;01/08/2015;3;2;2;2;606;0
22/10/2014;01/09/2015;3;2;2;2;758;0
22/10/2014;01/10/2015;3;2;2;2;1090;0
22/10/2014;01/11/2015;3;2;2;2;568;0
22/10/2014;01/12/2015;3;2;2;2;1914;0
22/10/2014;01/01/2016;3;2;2;2;240;0
22/10/2014;01/02/2016;3;2;2;2;155;0
22/10/2014;01/03/2016;3;2;2;2;49;0
22/10/2014;01/04/2016;3;2;2;2;38;0
22/10/2014;01/05/2016;3;2;2;2;32;0
22/10/2014;01/06/2016;3;2;2;2;33;0
22/10/2014;01/07/2016;3;2;2;2;12;0
22/10/2014;01/08/2016;3;2;2;2;9;0
22/10/2014;01/09/2016;3;2;0;2;7;0
22/10/2014;01/10/2016;3;2;0;0;0;0
22/10/2014;01/11/2016;3;2;0;0;0;0
22/10/2014;01/12/2016;3;2;0;2;11;0
22/10/2014;01/01/2017;3;2;0;0;0;0
22/10/2014;01/02/2017;3;2;2;2;1;0
22/10/2014;01/03/2017;3;2;2;2;1;0
22/10/2014;01/04/2017;3;2;2;2;1;0
22/10/2014;01/05/2017;3;2;0;0;0;0
22/10/2014;01/06/2017;3;2;0;0;0;0
