TradeDate,ContractDate,PriceCode,OptionTypeCode,StrikePrice,SettlementPrice,HighPrice,LowPrice,Volume,Previous
08-mai-18,01-juin-18,1,1,30,39;06,,,0,40;73
08-mai-18,01-juin-18,1,1,34,35;06,,,0,36;73
08-mai-18,01-juin-18,1,1,35,34;06,,,0,35;73
08-mai-18,01-juin-18,1,1,38,31;06,,,0,32;73
08-mai-18,01-juin-18,1,1,40,29;06,,,0,30;73
08-mai-18,01-juin-18,1,1,42,27;06,,,0,28;73
08-mai-18,01-juin-18,1,1,43,26;06,,,0,27;73
08-mai-18,01-juin-18,1,1,44,25;06,,,0,26;73
08-mai-18,01-juin-18,1,1,45,24;06,,,0,25;73
08-mai-18,01-juin-18,1,1,45;5,23;56,,,0,25;23
08-mai-18,01-juin-18,1,1,46,23;06,,,0,24;73
08-mai-18,01-juin-18,1,1,46;5,22;56,,,0,24;23
08-mai-18,01-juin-18,1,1,47,22;06,,,0,23;73
08-mai-18,01-juin-18,1,1,47;5,21;56,,,0,23;23
08-mai-18,01-juin-18,1,1,48,21;06,,20;19,0,22;73
08-mai-18,01-juin-18,1,1,48;5,20;56,,19;7,0,22;23
08-mai-18,01-juin-18,1,1,49,20;06,,19;23,0,21;73
08-mai-18,01-juin-18,1,1,49;5,19;56,,18;72,0,21;23
08-mai-18,01-juin-18,1,1,50,19;06,,18;2,0,20;73
08-mai-18,01-juin-18,1,1,50;5,18;56,,17;72,0,20;23
08-mai-18,01-juin-18,1,1,51,18;06,,17;22,0,19;73
08-mai-18,01-juin-18,1,1,51;5,17;56,,16;72,0,19;23
08-mai-18,01-juin-18,1,1,52,17;06,,16;22,0,18;73
08-mai-18,01-juin-18,1,1,52;5,16;56,,15;66,0,18;23
08-mai-18,01-juin-18,1,1,53,16;06,,15;16,0,17;73
08-mai-18,01-juin-18,1,1,53;5,15;56,,14;66,0,17;23
08-mai-18,01-juin-18,1,1,54,15;06,,14;22,0,16;73
08-mai-18,01-juin-18,1,1,54;5,14;56,,13;66,0,16;23
08-mai-18,01-juin-18,1,1,55,14;06,,13;04,0,15;73
08-mai-18,01-juin-18,1,1,55;5,13;56,,12;54,0,15;23
08-mai-18,01-juin-18,1,1,56,13;06,,12;03,0,14;73
08-mai-18,01-juin-18,1,1,56;5,12;56,,11;55,0,14;23
08-mai-18,01-juin-18,1,1,57,12;06,,11;05,0,13;73
08-mai-18,01-juin-18,1,1,57;5,11;56,,10;54,8,13;23
08-mai-18,01-juin-18,1,1,58,11;07,,10;06,0,12;73
08-mai-18,01-juin-18,1,1,58;5,10;57,,9;32,0,12;24
08-mai-18,01-juin-18,1,1,59,10;07,,8;82,10,11;74
08-mai-18,01-juin-18,1,1,59;5,9;57,10;83,8;33,74,11;24
08-mai-18,01-juin-18,1,1,60,9;07,10;33,7;84,73,10;74
08-mai-18,01-juin-18,1,1,60;5,8;58,9;83,7;35,62,10;24
08-mai-18,01-juin-18,1,1,61,8;08,9;13,6;87,10,9;75
08-mai-18,01-juin-18,1,1,61;5,7;59,,6;39,0,9;25
08-mai-18,01-juin-18,1,1,62,7;09,8;15,5;91,2,8;76
08-mai-18,01-juin-18,1,1,62;5,6;6,,5;44,0,8;26
08-mai-18,01-juin-18,1,1,63,6;11,7;15,4;98,5,7;77
08-mai-18,01-juin-18,1,1,63;5,5;63,6;67,4;53,24,7;27
08-mai-18,01-juin-18,1,1,64,5;15,6;4,4;09,12,6;78
08-mai-18,01-juin-18,1,1,64;5,4;68,,3;67,9,6;3
08-mai-18,01-juin-18,1,1,65,4;21,5;44,3;27,83,5;81
08-mai-18,01-juin-18,1,1,65;5,3;75,,2;88,77,5;33
08-mai-18,01-juin-18,1,1,66,3;32,4;51,2;52,58,4;86
08-mai-18,01-juin-18,1,1,66;5,2;89,,2;18,38,4;39
08-mai-18,01-juin-18,1,1,67,2;49,3;63,1;73,632,3;94
08-mai-18,01-juin-18,1,1,67;5,2;12,3;22,1;52,379,3;5
08-mai-18,01-juin-18,1,1,68,1;78,2;82,1;25,746,3;08
08-mai-18,01-juin-18,1,1,68;5,1;48,2;45,1;01,1282,2;68
