Date;FlowCode;ProductCode;LocationCode;Volume
02/12/2011;5;1;1;1041
09/12/2011;5;1;1;1094
16/12/2011;5;1;1;938
23/12/2011;5;1;1;906
30/12/2011;5;1;1;899
06/01/2012;5;1;1;857
13/01/2012;5;1;1;899
20/01/2012;5;1;1;883
27/01/2012;5;1;1;854
03/02/2012;5;1;1;903
10/02/2012;5;1;1;917
17/02/2012;5;1;1;920
24/02/2012;5;1;1;928
02/03/2012;5;1;1;923
09/03/2012;5;1;1;938
16/03/2012;5;1;1;998
23/03/2012;5;1;1;924
30/03/2012;5;1;1;932
06/04/2012;5;1;1;935
13/04/2012;5;1;1;965
20/04/2012;5;1;1;985
27/04/2012;5;1;1;952
04/05/2012;5;1;1;987
11/05/2012;5;1;1;995
18/05/2012;5;1;1;823
25/05/2012;5;1;1;923
01/06/2012;5;1;1;985
08/06/2012;5;1;1;997
15/06/2012;5;1;1;963
22/06/2012;5;1;1;1016
29/06/2012;5;1;1;965
06/07/2012;5;1;1;962
13/07/2012;5;1;1;963
20/07/2012;5;1;1;1024
27/07/2012;5;1;1;999
03/08/2012;5;1;1;991
10/08/2012;5;1;1;930
17/08/2012;5;1;1;932
24/08/2012;5;1;1;902
31/08/2012;5;1;1;990
07/09/2012;5;1;1;910
14/09/2012;5;1;1;982
21/09/2012;5;1;1;892
28/09/2012;5;1;1;880
05/10/2012;5;1;1;1094
12/10/2012;5;1;1;1109
19/10/2012;5;1;1;1011
26/10/2012;5;1;1;942
02/11/2012;5;1;1;757
09/11/2012;5;1;1;836
16/11/2012;5;1;1;800
23/11/2012;5;1;1;850
30/11/2012;5;1;1;981
07/12/2012;5;1;1;992
14/12/2012;5;1;1;954
21/12/2012;5;1;1;959
28/12/2012;5;1;1;940
04/01/2013;5;1;1;1068
11/01/2013;5;1;1;1102
18/01/2013;5;1;1;1035
25/01/2013;5;1;1;999
01/02/2013;5;1;1;1057
08/02/2013;5;1;1;937
15/02/2013;5;1;1;834
22/02/2013;5;1;1;886
01/03/2013;5;1;1;920
08/03/2013;5;1;1;930
15/03/2013;5;1;1;981
22/03/2013;5;1;1;1011
29/03/2013;5;1;1;1059
05/04/2013;5;1;1;1139
12/04/2013;5;1;1;1097
19/04/2013;5;1;1;1062
26/04/2013;5;1;1;1102
03/05/2013;5;1;1;1122
10/05/2013;5;1;1;1157
17/05/2013;5;1;1;1138
24/05/2013;5;1;1;1122
31/05/2013;5;1;1;1135
07/06/2013;5;1;1;1126
14/06/2013;5;1;1;1162
21/06/2013;5;1;1;1099
28/06/2013;5;1;1;1158
05/07/2013;5;1;1;1091
12/07/2013;5;1;1;1122
19/07/2013;5;1;1;1007
26/07/2013;5;1;1;1111
02/08/2013;5;1;1;1091
09/08/2013;5;1;1;1024
16/08/2013;5;1;1;1100
23/08/2013;5;1;1;1033
30/08/2013;5;1;1;1131
06/09/2013;5;1;1;1066
13/09/2013;5;1;1;1121
20/09/2013;5;1;1;1032
27/09/2013;5;1;1;1111
04/10/2013;5;1;1;955
11/10/2013;5;1;1;885
18/10/2013;5;1;1;852
25/10/2013;5;1;1;944
01/11/2013;5;1;1;887
08/11/2013;5;1;1;933
15/11/2013;5;1;1;928
22/11/2013;5;1;1;979
29/11/2013;5;1;1;994
06/12/2013;5;1;1;1099
13/12/2013;5;1;1;1021
20/12/2013;5;1;1;1042
27/12/2013;5;1;1;1102
03/01/2014;5;1;1;1097
10/01/2014;5;1;1;970
17/01/2014;5;1;1;902
24/01/2014;5;1;1;988
31/01/2014;5;1;1;998
07/02/2014;5;1;1;971
14/02/2014;5;1;1;972
21/02/2014;5;1;1;1002
28/02/2014;5;1;1;935
07/03/2014;5;1;1;1002
14/03/2014;5;1;1;1073
21/03/2014;5;1;1;1035
28/03/2014;5;1;1;952
04/04/2014;5;1;1;951
11/04/2014;5;1;1;1018
18/04/2014;5;1;1;1084
25/04/2014;5;1;1;1172
02/05/2014;5;1;1;1111
09/05/2014;5;1;1;1124
16/05/2014;5;1;1;1182
23/05/2014;5;1;1;1147
30/05/2014;5;1;1;1168
06/06/2014;5;1;1;1193
13/06/2014;5;1;1;1203
20/06/2014;5;1;1;1197
27/06/2014;5;1;1;1159
04/07/2014;5;1;1;1152
11/07/2014;5;1;1;1119
18/07/2014;5;1;1;1146
25/07/2014;5;1;1;1146
01/08/2014;5;1;1;1153
08/08/2014;5;1;1;1136
15/08/2014;5;1;1;1099
22/08/2014;5;1;1;1112
29/08/2014;5;1;1;1061
05/09/2014;5;1;1;1042
12/09/2014;5;1;1;1178
19/09/2014;5;1;1;1173
26/09/2014;5;1;1;1158
03/10/2014;5;1;1;1153
10/10/2014;5;1;1;1130
17/10/2014;5;1;1;1143
24/10/2014;5;1;1;1121
31/10/2014;5;1;1;1140
07/11/2014;5;1;1;1156
14/11/2014;5;1;1;1127
21/11/2014;5;1;1;1114
28/11/2014;5;1;1;1094
05/12/2014;5;1;1;1063
12/12/2014;5;1;1;1034
19/12/2014;5;1;1;1067
