PRODUCT SYMBOL,CONTRACT MONTH,CONTRACT YEAR,CONTRACT DAY,CONTRACT,PRODUCT DESCRIPTION,OPEN,HIGH,HIGH AB INDICATOR,LOW,LOW AB INDICATOR,LAST,LAST AB INDICATOR,SETTLE,PT CHG,EST. VOL,PRIOR SETTLE,PRIOR VOL,PRIOR INT,TRADEDATE
0B,05,2018,,0BK18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,339.499,,,05/30/2018
0B,06,2018,,0BM18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,339.580,,,05/30/2018
0B,07,2018,,0BN18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,339.617,,,05/30/2018
0B,08,2018,,0BQ18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,338.775,,,05/30/2018
0B,09,2018,,0BU18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,337.200,,,05/30/2018
0B,10,2018,,0BV18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,335.450,,,05/30/2018
0B,11,2018,,0BX18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,333.325,,,05/30/2018
0B,12,2018,,0BZ18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,330.950,,,05/30/2018
0B,01,2019,,0BF19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,331.492,,,05/30/2018
0B,02,2019,,0BG19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,332.033,,,05/30/2018
0B,03,2019,,0BH19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,332.690,,,05/30/2018
0B,04,2019,,0BJ19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,333.346,,,05/30/2018
0B,05,2019,,0BK19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,334.002,,,05/30/2018
